city,date,energy_usage
New York,2025-07-24,525679
New York,2025-07-24,470396
New York,2025-07-24,465089
New York,2025-07-24,462684
New York,2025-07-24,467823
New York,2025-07-24,470396
New York,2025-07-24,-62400
New York,2025-07-24,-62381
New York,2025-07-24,-61954
New York,2025-07-24,-62357
New York,2025-07-24,-62400
New York,2025-07-23,470924
New York,2025-07-23,468341
New York,2025-07-23,466856
New York,2025-07-23,469718
New York,2025-07-23,470924
New York,2025-07-23,480254
New York,2025-07-23,478830
New York,2025-07-23,478020
New York,2025-07-23,479576
New York,2025-07-23,480254
New York,2025-07-23,410593
New York,2025-07-23,406462
New York,2025-07-23,404261
New York,2025-07-23,408581
New York,2025-07-23,410593
New York,2025-07-23,-60331
New York,2025-07-23,-61879
New York,2025-07-23,-62595
New York,2025-07-23,-61137
New York,2025-07-23,-60331
New York,2025-07-22,441587
New York,2025-07-22,442553
New York,2025-07-22,443227
New York,2025-07-22,442011
New York,2025-07-22,441587
New York,2025-07-22,439503
New York,2025-07-22,438827
New York,2025-07-22,438504
New York,2025-07-22,439164
New York,2025-07-22,439503
New York,2025-07-22,390493
New York,2025-07-22,389860
New York,2025-07-22,389838
New York,2025-07-22,390076
New York,2025-07-22,390493
New York,2025-07-22,-51094
New York,2025-07-22,-52693
New York,2025-07-22,-53389
New York,2025-07-22,-51935
New York,2025-07-22,-51094
New York,2025-07-21,487180
New York,2025-07-21,491499
New York,2025-07-21,493897
New York,2025-07-21,489264
New York,2025-07-21,487180
New York,2025-07-21,459455
New York,2025-07-21,464037
New York,2025-07-21,466573
New York,2025-07-21,461656
New York,2025-07-21,459455
New York,2025-07-21,409999
New York,2025-07-21,413989
New York,2025-07-21,416016
New York,2025-07-21,412063
New York,2025-07-21,409999
New York,2025-07-21,-77181
New York,2025-07-21,-77510
New York,2025-07-21,-77881
New York,2025-07-21,-77201
New York,2025-07-21,-77181
New York,2025-07-20,509431
New York,2025-07-20,508754
New York,2025-07-20,507938
New York,2025-07-20,509199
New York,2025-07-20,509431
New York,2025-07-20,498084
New York,2025-07-20,497485
New York,2025-07-20,496912
New York,2025-07-20,497862
New York,2025-07-20,498084
New York,2025-07-20,425953
New York,2025-07-20,426225
New York,2025-07-20,425706
New York,2025-07-20,426418
New York,2025-07-20,425953
New York,2025-07-20,-83478
New York,2025-07-20,-82529
New York,2025-07-20,-82232
New York,2025-07-20,-82781
New York,2025-07-20,-83478
New York,2025-07-19,458594
New York,2025-07-19,455661
New York,2025-07-19,454397
New York,2025-07-19,457086
New York,2025-07-19,458594
New York,2025-07-19,460267
New York,2025-07-19,457302
New York,2025-07-19,455982
New York,2025-07-19,458752
New York,2025-07-19,460267
New York,2025-07-19,387931
New York,2025-07-19,385615
New York,2025-07-19,384080
New York,2025-07-19,386656
New York,2025-07-19,387931
New York,2025-07-19,-70663
New York,2025-07-19,-70046
New York,2025-07-19,-70317
New York,2025-07-19,-70430
New York,2025-07-19,-70663
New York,2025-07-18,482873
New York,2025-07-18,489118
New York,2025-07-18,492801
New York,2025-07-18,485850
New York,2025-07-18,482873
New York,2025-07-18,487145
New York,2025-07-18,493669
New York,2025-07-18,497319
New York,2025-07-18,490283
New York,2025-07-18,487145
New York,2025-07-18,415006
New York,2025-07-18,422156
New York,2025-07-18,426377
New York,2025-07-18,418268
New York,2025-07-18,415006
New York,2025-07-18,-67867
New York,2025-07-18,-66962
New York,2025-07-18,-66424
New York,2025-07-18,-67582
New York,2025-07-18,-67867
New York,2025-07-17,589724
New York,2025-07-17,593330
New York,2025-07-17,594728
New York,2025-07-17,591621
New York,2025-07-17,589724
New York,2025-07-17,587221
New York,2025-07-17,588592
New York,2025-07-17,588966
New York,2025-07-17,588004
New York,2025-07-17,587221
New York,2025-07-17,512279
New York,2025-07-17,514846
New York,2025-07-17,516245
New York,2025-07-17,513889
New York,2025-07-17,512279
New York,2025-07-17,-77445
New York,2025-07-17,-78484
New York,2025-07-17,-78483
New York,2025-07-17,-77732
New York,2025-07-17,-77445
New York,2025-07-16,592140
New York,2025-07-16,588826
New York,2025-07-16,587198
New York,2025-07-16,590471
New York,2025-07-16,592140
New York,2025-07-16,576105
New York,2025-07-16,573992
New York,2025-07-16,572938
New York,2025-07-16,575062
New York,2025-07-16,576105
New York,2025-07-16,515574
New York,2025-07-16,513638
New York,2025-07-16,512338
New York,2025-07-16,514513
New York,2025-07-16,515574
New York,2025-07-16,-76566
New York,2025-07-16,-75188
New York,2025-07-16,-74860
New York,2025-07-16,-75958
New York,2025-07-16,-76566
New York,2025-07-15,556763
New York,2025-07-15,554542
New York,2025-07-15,553254
New York,2025-07-15,555733
New York,2025-07-15,556763
New York,2025-07-15,543039
New York,2025-07-15,541818
New York,2025-07-15,541128
New York,2025-07-15,542450
New York,2025-07-15,543039
New York,2025-07-15,496377
New York,2025-07-15,493002
New York,2025-07-15,492037
New York,2025-07-15,494498
New York,2025-07-15,496377
New York,2025-07-15,-60386
New York,2025-07-15,-61540
New York,2025-07-15,-61217
New York,2025-07-15,-61235
New York,2025-07-15,-60386
New York,2025-07-14,553017
New York,2025-07-14,554125
New York,2025-07-14,554606
New York,2025-07-14,553589
New York,2025-07-14,553017
New York,2025-07-14,538008
New York,2025-07-14,537398
New York,2025-07-14,536941
New York,2025-07-14,537746
New York,2025-07-14,538008
New York,2025-07-14,481534
New York,2025-07-14,481505
New York,2025-07-14,480895
New York,2025-07-14,481587
New York,2025-07-14,481534
New York,2025-07-14,-71483
New York,2025-07-14,-72620
New York,2025-07-14,-73711
New York,2025-07-14,-72002
New York,2025-07-14,-71483
New York,2025-07-13,511525
New York,2025-07-13,510696
New York,2025-07-13,510365
New York,2025-07-13,511066
New York,2025-07-13,511525
New York,2025-07-13,490702
New York,2025-07-13,490480
New York,2025-07-13,490550
New York,2025-07-13,490523
New York,2025-07-13,490702
New York,2025-07-13,435085
New York,2025-07-13,434900
New York,2025-07-13,434966
New York,2025-07-13,435060
New York,2025-07-13,435085
New York,2025-07-13,-76440
New York,2025-07-13,-75796
New York,2025-07-13,-75399
New York,2025-07-13,-76006
New York,2025-07-13,-76440
New York,2025-07-12,514307
New York,2025-07-12,514433
New York,2025-07-12,514639
New York,2025-07-12,514340
New York,2025-07-12,514307
New York,2025-07-12,503610
New York,2025-07-12,503899
New York,2025-07-12,504109
New York,2025-07-12,503736
New York,2025-07-12,503610
New York,2025-07-12,435885
New York,2025-07-12,435763
New York,2025-07-12,435965
New York,2025-07-12,435787
New York,2025-07-12,435885
New York,2025-07-12,-78422
New York,2025-07-12,-78670
New York,2025-07-12,-78674
New York,2025-07-12,-78553
New York,2025-07-12,-78422
New York,2025-07-11,535035
New York,2025-07-11,533986
New York,2025-07-11,533381
New York,2025-07-11,534549
New York,2025-07-11,535035
New York,2025-07-11,522782
New York,2025-07-11,522512
New York,2025-07-11,522329
New York,2025-07-11,522668
New York,2025-07-11,522782
New York,2025-07-11,457870
New York,2025-07-11,456639
New York,2025-07-11,456131
New York,2025-07-11,457090
New York,2025-07-11,457870
New York,2025-07-11,-77165
New York,2025-07-11,-77347
New York,2025-07-11,-77250
New York,2025-07-11,-77459
New York,2025-07-11,-77165
New York,2025-07-10,527963
New York,2025-07-10,529670
New York,2025-07-10,530750
New York,2025-07-10,528740
New York,2025-07-10,527963
New York,2025-07-10,525449
New York,2025-07-10,526581
New York,2025-07-10,527219
New York,2025-07-10,525993
New York,2025-07-10,525449
New York,2025-07-10,451705
New York,2025-07-10,452738
New York,2025-07-10,453754
New York,2025-07-10,452239
New York,2025-07-10,451705
New York,2025-07-10,-76258
New York,2025-07-10,-76932
New York,2025-07-10,-76996
New York,2025-07-10,-76501
New York,2025-07-10,-76258
New York,2025-07-09,557217
New York,2025-07-09,557004
New York,2025-07-09,556728
New York,2025-07-09,557176
New York,2025-07-09,557217
New York,2025-07-09,539278
New York,2025-07-09,539414
New York,2025-07-09,539479
New York,2025-07-09,539351
New York,2025-07-09,539278
New York,2025-07-09,477311
New York,2025-07-09,477370
New York,2025-07-09,476766
New York,2025-07-09,477290
New York,2025-07-09,477311
New York,2025-07-09,-79906
New York,2025-07-09,-79634
New York,2025-07-09,-79962
New York,2025-07-09,-79886
New York,2025-07-09,-79906
New York,2025-07-08,572908
New York,2025-07-08,574024
New York,2025-07-08,574492
New York,2025-07-08,573487
New York,2025-07-08,572908
New York,2025-07-08,550747
New York,2025-07-08,551186
New York,2025-07-08,551338
New York,2025-07-08,550984
New York,2025-07-08,550747
New York,2025-07-08,494462
New York,2025-07-08,496127
New York,2025-07-08,497173
New York,2025-07-08,495286
New York,2025-07-08,494462
New York,2025-07-08,-78446
New York,2025-07-08,-77897
New York,2025-07-08,-77319
New York,2025-07-08,-78201
New York,2025-07-08,-78446
New York,2025-07-07,566605
New York,2025-07-07,566126
New York,2025-07-07,565879
New York,2025-07-07,566346
New York,2025-07-07,566605
New York,2025-07-07,554499
New York,2025-07-07,554481
New York,2025-07-07,554391
New York,2025-07-07,554500
New York,2025-07-07,554499
New York,2025-07-07,492541
New York,2025-07-07,492936
New York,2025-07-07,492886
New York,2025-07-07,492705
New York,2025-07-07,492541
New York,2025-07-07,-74064
New York,2025-07-07,-73190
New York,2025-07-07,-72993
New York,2025-07-07,-73641
New York,2025-07-07,-74064
New York,2025-07-06,506101
New York,2025-07-06,501974
New York,2025-07-06,500009
New York,2025-07-06,503996
New York,2025-07-06,506101
New York,2025-07-06,480586
New York,2025-07-06,475628
New York,2025-07-06,473102
New York,2025-07-06,478119
New York,2025-07-06,480586
New York,2025-07-06,428044
New York,2025-07-06,422234
New York,2025-07-06,419388
New York,2025-07-06,425301
New York,2025-07-06,428044
New York,2025-07-06,-78057
New York,2025-07-06,-79740
New York,2025-07-06,-80621
New York,2025-07-06,-78695
New York,2025-07-06,-78057
Chicago,2025-08-04,2038753
Chicago,2025-08-04,2031855
Chicago,2025-08-04,2026753
Chicago,2025-08-04,2035549
Chicago,2025-08-04,2038753
Chicago,2025-08-04,2019561
Chicago,2025-08-04,2014973
Chicago,2025-08-03,1810962
Chicago,2025-08-03,1804294
Chicago,2025-08-03,1801259
Chicago,2025-08-03,1807496
Chicago,2025-08-03,1810962
Chicago,2025-08-03,1820141
Chicago,2025-08-03,1814793
Chicago,2025-08-03,1812312
Chicago,2025-08-03,1817407
Chicago,2025-08-03,1820141
Chicago,2025-08-03,1748100
Chicago,2025-08-03,1742026
Chicago,2025-08-03,1739825
Chicago,2025-08-03,1748100
Chicago,2025-08-03,1748100
Chicago,2025-08-03,-96012
Chicago,2025-08-03,-95356
Chicago,2025-08-02,1784913
Chicago,2025-08-02,1789818
Chicago,2025-08-02,1792454
Chicago,2025-08-02,1787498
Chicago,2025-08-02,1784913
Chicago,2025-08-02,1800365
Chicago,2025-08-02,1804814
Chicago,2025-08-02,1808066
Chicago,2025-08-02,1802473
Chicago,2025-08-02,1800365
Chicago,2025-08-02,1720390
Chicago,2025-08-02,1725957
Chicago,2025-08-02,1727696
Chicago,2025-08-02,1723662
Chicago,2025-08-02,1720390
Chicago,2025-08-02,-96947
Chicago,2025-08-02,-96102
Chicago,2025-08-02,-96980
Chicago,2025-08-02,-96342
Chicago,2025-08-02,-96947
Chicago,2025-08-01,1919391
Chicago,2025-08-01,1926216
Chicago,2025-08-01,1929897
Chicago,2025-08-01,1922694
Chicago,2025-08-01,1919391
Chicago,2025-08-01,1960858
Chicago,2025-08-01,1970006
Chicago,2025-08-01,1974154
Chicago,2025-08-01,1965447
Chicago,2025-08-01,1960858
Chicago,2025-08-01,1858765
Chicago,2025-08-01,1867858
Chicago,2025-08-01,1873739
Chicago,2025-08-01,1862778
Chicago,2025-08-01,1858765
Chicago,2025-08-01,-95932
Chicago,2025-08-01,-94177
Chicago,2025-08-01,-92264
Chicago,2025-08-01,-95365
Chicago,2025-08-01,-95932
Chicago,2025-07-31,2012147
Chicago,2025-07-31,2023170
Chicago,2025-07-31,2028849
Chicago,2025-07-31,2017783
Chicago,2025-07-31,2012147
Chicago,2025-07-31,2075265
Chicago,2025-07-31,2088192
Chicago,2025-07-31,2095389
Chicago,2025-07-31,2081409
Chicago,2025-07-31,2075265
Chicago,2025-07-31,2001880
Chicago,2025-07-31,2016375
Chicago,2025-07-31,2025239
Chicago,2025-07-31,2009278
Chicago,2025-07-31,2001880
Chicago,2025-07-31,-52254
Chicago,2025-07-31,-48686
Chicago,2025-07-31,-45518
Chicago,2025-07-31,-50371
Chicago,2025-07-31,-52254
Chicago,2025-07-30,2236927
Chicago,2025-07-30,2255722
Chicago,2025-07-30,2266814
Chicago,2025-07-30,2245608
Chicago,2025-07-30,2236927
Chicago,2025-07-30,2296723
Chicago,2025-07-30,2313028
Chicago,2025-07-30,2322977
Chicago,2025-07-30,2304983
Chicago,2025-07-30,2296723
Chicago,2025-07-30,2250481
Chicago,2025-07-30,2268604
Chicago,2025-07-30,2275693
Chicago,2025-07-30,2259367
Chicago,2025-07-30,2250481
Chicago,2025-07-30,-33845
Chicago,2025-07-30,-34696
Chicago,2025-07-30,-38808
Chicago,2025-07-30,-33894
Chicago,2025-07-30,-33845
Chicago,2025-07-29,2390693
Chicago,2025-07-29,2388765
Chicago,2025-07-29,2387863
Chicago,2025-07-29,2389910
Chicago,2025-07-29,2390693
Chicago,2025-07-29,2499142
Chicago,2025-07-29,2504375
Chicago,2025-07-29,2505997
Chicago,2025-07-29,2501548
Chicago,2025-07-29,2499142
Chicago,2025-07-29,2312607
Chicago,2025-07-29,2306895
Chicago,2025-07-29,2303789
Chicago,2025-07-29,2309679
Chicago,2025-07-29,2312607
Chicago,2025-07-29,-128382
Chicago,2025-07-29,-132168
Chicago,2025-07-29,-134007
Chicago,2025-07-29,-130532
Chicago,2025-07-29,-128382
Chicago,2025-07-28,2387397
Chicago,2025-07-28,2383477
Chicago,2025-07-28,2381588
Chicago,2025-07-28,2385437
Chicago,2025-07-28,2387397
Chicago,2025-07-28,2478944
Chicago,2025-07-28,2465565
Chicago,2025-07-28,2458694
Chicago,2025-07-28,2472285
Chicago,2025-07-28,2478944
Chicago,2025-07-28,2308221
Chicago,2025-07-28,2305857
Chicago,2025-07-28,2306977
Chicago,2025-07-28,2306626
Chicago,2025-07-28,2308221
Chicago,2025-07-28,-130155
Chicago,2025-07-28,-129582
Chicago,2025-07-28,-126911
Chicago,2025-07-28,-130144
Chicago,2025-07-28,-130155
Chicago,2025-07-27,2254020
Chicago,2025-07-27,2247440
Chicago,2025-07-27,2242974
Chicago,2025-07-27,2250886
Chicago,2025-07-27,2254020
Chicago,2025-07-27,2227405
Chicago,2025-07-27,2221187
Chicago,2025-07-27,2217787
Chicago,2025-07-27,2224324
Chicago,2025-07-27,2227405
Chicago,2025-07-27,2184744
Chicago,2025-07-27,2176694
Chicago,2025-07-27,2171995
Chicago,2025-07-27,2180860
Chicago,2025-07-27,2184744
Chicago,2025-07-27,-114501
Chicago,2025-07-27,-114789
Chicago,2025-07-27,-114637
Chicago,2025-07-27,-114745
Chicago,2025-07-27,-114501
Chicago,2025-07-26,2153604
Chicago,2025-07-26,2155006
Chicago,2025-07-26,2156314
Chicago,2025-07-26,2154274
Chicago,2025-07-26,2153604
Chicago,2025-07-26,2173220
Chicago,2025-07-26,2175369
Chicago,2025-07-26,2176465
Chicago,2025-07-26,2174174
Chicago,2025-07-26,2173220
Chicago,2025-07-26,2118577
Chicago,2025-07-26,2123493
Chicago,2025-07-26,2125007
Chicago,2025-07-26,2121434
Chicago,2025-07-26,2118577
Chicago,2025-07-26,-73430
Chicago,2025-07-26,-69853
Chicago,2025-07-26,-70038
Chicago,2025-07-26,-71298
Chicago,2025-07-26,-73430
Chicago,2025-07-25,2282708
Chicago,2025-07-25,2290689
Chicago,2025-07-25,2295178
Chicago,2025-07-25,2286590
Chicago,2025-07-25,2282708
Chicago,2025-07-25,2306572
Chicago,2025-07-25,2316074
Chicago,2025-07-25,2322012
Chicago,2025-07-25,2311203
Chicago,2025-07-25,2306572
Chicago,2025-07-25,2244648
Chicago,2025-07-25,2247093
Chicago,2025-07-25,2251844
Chicago,2025-07-25,2245336
Chicago,2025-07-25,2244648
Chicago,2025-07-25,-82732
Chicago,2025-07-25,-88293
Chicago,2025-07-25,-90332
Chicago,2025-07-25,-85857
Chicago,2025-07-25,-82732
Chicago,2025-07-24,2424751
Chicago,2025-07-24,2427822
Chicago,2025-07-24,2429281
Chicago,2025-07-24,2426214
Chicago,2025-07-24,2424751
Chicago,2025-07-24,2449993
Chicago,2025-07-24,2453019
Chicago,2025-07-24,2452907
Chicago,2025-07-24,2451202
Chicago,2025-07-24,2449993
Chicago,2025-07-24,2266049
Chicago,2025-07-24,2273199
Chicago,2025-07-24,2273199
Chicago,2025-07-24,2271951
Chicago,2025-07-24,2266049
Chicago,2025-07-24,-173252
Chicago,2025-07-24,-175166
Chicago,2025-07-24,-174385
Chicago,2025-07-24,-174407
Chicago,2025-07-24,-173252
Chicago,2025-07-23,2359479
Chicago,2025-07-23,2353947
Chicago,2025-07-23,2351293
Chicago,2025-07-23,2356606
Chicago,2025-07-23,2359479
Chicago,2025-07-23,2410244
Chicago,2025-07-23,2399648
Chicago,2025-07-23,2395099
Chicago,2025-07-23,2405428
Chicago,2025-07-23,2410244
Chicago,2025-07-23,2273199
Chicago,2025-07-23,2261659
Chicago,2025-07-23,2257762
Chicago,2025-07-23,2264848
Chicago,2025-07-23,2273199
Chicago,2025-07-23,-139556
Chicago,2025-07-23,-139844
Chicago,2025-07-23,-140627
Chicago,2025-07-23,-139621
Chicago,2025-07-23,-139556
Chicago,2025-07-22,2281757
Chicago,2025-07-22,2271052
Chicago,2025-07-22,2264734
Chicago,2025-07-22,2276804
Chicago,2025-07-22,2281757
Chicago,2025-07-22,2277535
Chicago,2025-07-22,2270356
Chicago,2025-07-22,2266027
Chicago,2025-07-22,2274162
Chicago,2025-07-22,2277535
Chicago,2025-07-22,2175645
Chicago,2025-07-22,2166201
Chicago,2025-07-22,2161837
Chicago,2025-07-22,2170978
Chicago,2025-07-22,2175645
Chicago,2025-07-22,-144490
Chicago,2025-07-22,-143078
Chicago,2025-07-22,-141170
Chicago,2025-07-22,-143946
Chicago,2025-07-22,-144490
Chicago,2025-07-21,2153325
Chicago,2025-07-21,2147375
Chicago,2025-07-21,2144644
Chicago,2025-07-21,2150197
